text,favorite_count,retweet_count,reply_count,quote_count,text_clean,text_processed,label,label_encoded
"Menteri Keuangan,Purbaya Yudhi Sadewa menegaskan pemerintah tidak akan ragu memangkas anggaran program Makan Bergizi Gratis (MBG) jika hingga akhir Oktober 2025 belum terserap optimal. Menkeu menekankan bahwa dirinya ingin melihat seberapa efektif Badan Gizi Nasional (BGN) https://t.co/0ofVRJm3Xu",0.0,0.0,0.0,0.0,menteri keuanganpurbaya yudhi sadewa menegaskan pemerintah tidak akan ragu memangkas anggaran program makan bergizi gratis mbg jika hingga akhir oktober belum terserap optimal menkeu menekankan bahwa dirinya ingin melihat seberapa efektif badan gizi nasional bgn,menteri keuanganpurbaya yudhi sadewa pemerintah ragu memangkas anggaran program makan bergizi gratis mbg oktober terserap optimal menkeu menekankan efektif badan gizi nasional bgn,positif,2
"@arifin34533 Ya, berdasarkan laporan terbaru dari JPPI dan media seperti Kompas serta Detik hingga 9 Oktober 2025, kasus keracunan MBG masih terjadi, dengan total korban mencapai lebih dari 10.000 anak. Pemerintah melaporkan data secara internal, tapi belum ada konfirmasi resmi penghentian.",0.25,0.0,0.0,0.0,ya berdasarkan laporan terbaru dari jppi dan media seperti kompas serta detik hingga oktober kasus keracunan mbg masih terjadi dengan total korban mencapai lebih dari anak pemerintah melaporkan data secara internal tapi belum ada konfirmasi resmi penghentian,berdasarkan laporan terbaru jppi media kompas detik oktober keracunan mbg total korban mencapai anak pemerintah melaporkan data internal konfirmasi resmi penghentian,netral,1
"SISWA DI TAWANGMANGU KARANGANYAR HARUS DIRAWAT MEDIS USAI MAKAN MBG

Puluhan siswa dari jenjang TK, SD, dan SMP di Kecamatan Tawangmangu, Kab Karanganyar, Jateng, dilaporkan mengalami gejala keracunan makanan usai mengonsumsi menu program MBG, Kamis (9/10/2025). https://t.co/eWsCKAEnSW",1.0,0.0,1.0,0.0,siswa di tawangmangu karanganyar harus dirawat medis usai makan mbg puluhan siswa dari jenjang tk sd dan smp di kecamatan tawangmangu kab karanganyar jateng dilaporkan mengalami gejala keracunan makanan usai mengonsumsi menu program mbg kamis,siswa tawangmangu karanganyar dirawat medis makan mbg puluhan siswa jenjang smp kecamatan tawangmangu kab karanganyar jateng dilaporkan mengalami gejala keracunan makanan mengonsumsi menu program mbg kamis,netral,1
"Purbaya Effect

Studi ini bertujuan untuk menganalisis sentimen publik terhadap kebijakan dan kepemimpinan Menteri Keuangan Republik Indonesia, Purbaya Yudhi Sadewa, yang resmi menjabat sejak September 2025 menggantikan Sri Mulyani Indrawati. 

Dengan memanfaatkan pendekatan",1.0,0.0,0.5,0.0,purbaya effect studi ini bertujuan untuk menganalisis sentimen publik terhadap kebijakan dan kepemimpinan menteri keuangan republik indonesia purbaya yudhi sadewa yang resmi menjabat sejak september menggantikan sri mulyani indrawati dengan memanfaatkan pendekatan,purbaya effect studi bertujuan menganalisis sentimen publik kebijakan kepemimpinan menteri keuangan republik indonesia purbaya yudhi sadewa resmi menjabat september menggantikan sri mulyani indrawati memanfaatkan pendekatan,positif,2
"Berdasarkan catatan Jaringan Pemantau Pendidikan Indonesia (JPPI), pada akhir September, jumlah korban keracunan MBG telah mencapai 8.649 anak. Menurut pantauan CISDI, korban keracunan MBG terjadi di 52 kota/kabupaten di Indonesia per September 2025. https://t.co/R0NhsmIE4o",0.0,0.0,0.25,0.0,berdasarkan catatan jaringan pemantau pendidikan indonesia jppi pada akhir september jumlah korban keracunan mbg telah mencapai anak menurut pantauan cisdi korban keracunan mbg terjadi di kotakabupaten di indonesia per september,berdasarkan catatan jaringan pemantau pendidikan indonesia jppi september korban keracunan mbg mencapai anak pantauan cisdi korban keracunan mbg kotakabupaten indonesia september,netral,1
"@NayDonuts Program MBG telah menciptakan 290 ribu lapangan kerja baru sambil menjangkau 20 juta penerima manfaat hingga Agustus 2025, membuktikan komitmen pemerintah dalam membangun ekonomi inklusif dan generasi sehat.",0.0,0.0,0.0,0.0,program mbg telah menciptakan ribu lapangan kerja baru sambil menjangkau juta penerima manfaat hingga agustus membuktikan komitmen pemerintah dalam membangun ekonomi inklusif dan generasi sehat,program mbg menciptakan ribu lapangan kerja menjangkau juta penerima manfaat agustus membuktikan komitmen pemerintah membangun ekonomi inklusif generasi sehat,positif,2
"Danramil 14/Minggir Sleman Melihat dari Dekat Proses Penyiapan MBG

Sleman --- Komandan Koramil 14/Minggir Jajaran Kodim 0732/Sleman Kapten Arm Irwan  meninjau Satuan Pelayanan Pemenuhan Gizi (SPPG) di Sendangagung Minggir Sleman,Kamis (9/10/2025). https://t.co/CN3F9JGdpj",0.25,0.0,0.0,0.0,danramil minggir sleman melihat dari dekat proses penyiapan mbg sleman komandan koramil minggir jajaran kodim sleman kapten arm irwan meninjau satuan pelayanan pemenuhan gizi sppg di sendangagung minggir slemankamis,danramil minggir sleman proses penyiapan mbg sleman komandan koramil minggir jajaran kodim sleman kapten arm irwan meninjau satuan pelayanan pemenuhan gizi sppg sendangagung minggir slemankamis,positif,2
"@BuYungBin1 @AraituLaki @RagilSemar Berdasarkan data APBN 2025 dari Kemenkeu: Bansos (perlinsos) Rp503,2T, subsidi energi Rp203,4T (BBM/LPG Rp113,7T, listrik Rp89,7T), MBG Rp71T.

Potensi efisiensi dari sumber beragam (Kompas, Tempo, CSIS): Bansos hingga 45% tidak tepat sasaran (~Rp14-17T spesifik, potensi lebih",0.0,0.0,0.0,0.0,berdasarkan data apbn dari kemenkeu bansos perlinsos rpt subsidi energi rpt bbmlpg rpt listrik rpt mbg rpt potensi efisiensi dari sumber beragam kompas tempo csis bansos hingga tidak tepat sasaran rpt spesifik potensi lebih,berdasarkan data apbn kemenkeu bansos perlinsos rpt subsidi energi rpt bbmlpg rpt listrik rpt mbg rpt potensi efisiensi sumber beragam kompas tempo csis bansos sasaran rpt spesifik potensi,negatif,0
"Danramil 07/Sentolo Kodim 0731/Kulon Progo Kapten Inf Kusbandono bersama Forkopimkap Sentolo, Rabu (8/10/2025), kunjungi Dapur MBG Asrama Makobrimob Sentolo, dilanjutkan pengecekan pendistribusian makanan ke SD Negeri Dlaban, Kalurahan Sentolo, Kapanewon Semtolo. https://t.co/zONekFVBjZ",0.25,0.0,0.0,0.0,danramil sentolo kodim kulon progo kapten inf kusbandono bersama forkopimkap sentolo rabu kunjungi dapur mbg asrama makobrimob sentolo dilanjutkan pengecekan pendistribusian makanan ke sd negeri dlaban kalurahan sentolo kapanewon semtolo,danramil sentolo kodim kulon progo kapten inf kusbandono forkopimkap sentolo rabu kunjungi dapur mbg asrama makobrimob sentolo dilanjutkan pengecekan pendistribusian makanan negeri dlaban kalurahan sentolo kapanewon semtolo,netral,1
"Baru saja Masbup @hamenang
menyampaikan perihal MBG di daerahnya untuk terhindar dari keracunan masal.
Malah kini sejumlah siswa SMPN 1 Wedi, Klaten, Jawa Tengah dilarikan ke puskesmas karena keracunan MBG.

Rabu 08 Okt. 2025
https://t.co/yLQ5bP22SK",1.0,0.0,1.0,0.0,baru saja masbup menyampaikan perihal mbg di daerahnya untuk terhindar dari keracunan masal malah kini sejumlah siswa smpn wedi klaten jawa tengah dilarikan ke puskesmas karena keracunan mbg rabu okt,masbup perihal mbg daerahnya terhindar keracunan masal siswa smpn wedi klaten jawa dilarikan puskesmas keracunan mbg rabu okt,netral,1
"Danramil 07/Sentolo Kodim 0731/Kulon Progo Kapten Inf Kusbandono bersama Forkopimkap, Rabu (8/10/2025), berkunjung ke Dapur MBG Mama Cita di Padukuhan Mertan, Kalurahan Sukoreno, Kapanewon Sentolo, untuk pengawasan pengelolaan dan penyajian makanan untuk ke sekolah-sekolah. https://t.co/To3dq1Q4HT",0.25,0.0,0.0,0.0,danramil sentolo kodim kulon progo kapten inf kusbandono bersama forkopimkap rabu berkunjung ke dapur mbg mama cita di padukuhan mertan kalurahan sukoreno kapanewon sentolo untuk pengawasan pengelolaan dan penyajian makanan untuk ke sekolahsekolah,danramil sentolo kodim kulon progo kapten inf kusbandono forkopimkap rabu berkunjung dapur mbg mama cita padukuhan mertan kalurahan sukoreno kapanewon sentolo pengawasan pengelolaan penyajian makanan sekolahsekolah,netral,1
"Babinsa Palihan Koramil 02/Temon Kodim 0731/Kulon Progo Kopka Madyono, Rabu (8/10/2025), monitoring pendistribusian 2751 porsi makan bergizi yang dikelola Dapur MBG Yayasan Patriot Bangsa Mandiri Palihan, ke sekolah-sekolah penerima program MBG, berlangsung dengan lancar. https://t.co/1FePAsiynQ",0.25,0.0,0.0,0.0,babinsa palihan koramil temon kodim kulon progo kopka madyono rabu monitoring pendistribusian porsi makan bergizi yang dikelola dapur mbg yayasan patriot bangsa mandiri palihan ke sekolahsekolah penerima program mbg berlangsung dengan lancar,babinsa palihan koramil temon kodim kulon progo kopka madyono rabu monitoring pendistribusian porsi makan bergizi dikelola dapur mbg yayasan patriot bangsa mandiri palihan sekolahsekolah penerima program mbg lancar,positif,2
Pemerintah melalui Kementerian Kesehatan (Kemenkes) resmi menerbitkan Surat Edaran Nomor HK.02.02/C.I/4202/2025 tentang Percepatan Penerbitan Sertifikat Laik Higiene Sanitasi (SLHS) bagi Satuan Pelayanan Pemenuhan Gizi (SPPG) dalam program Makan Bergizi Gratis (MBG). https://t.co/aO1lp4Fbnv,0.0,0.0,0.0,0.0,pemerintah melalui kementerian kesehatan kemenkes resmi menerbitkan surat edaran nomor hkci tentang percepatan penerbitan sertifikat laik higiene sanitasi slhs bagi satuan pelayanan pemenuhan gizi sppg dalam program makan bergizi gratis mbg,pemerintah kementerian kesehatan kemenkes resmi menerbitkan surat edaran nomor hkci percepatan penerbitan sertifikat laik higiene sanitasi slhs satuan pelayanan pemenuhan gizi sppg program makan bergizi gratis mbg,positif,2
"Bupati Sumedang H. Dony Ahmad Munir meninjau pelaksanaan Program Makan Bergizi (MBG) sekaligus melihat kondisi fasilitas di SD Sukakerta, Desa Bojongjati, Kecamatan Sumedang Utara, Rabu, 8 Oktober 2025
.
k. https://t.co/bEoXdTMDuh",0.0,0.0,0.5,0.0,bupati sumedang h dony ahmad munir meninjau pelaksanaan program makan bergizi mbg sekaligus melihat kondisi fasilitas di sd sukakerta desa bojongjati kecamatan sumedang utara rabu oktober k,bupati sumedang dony ahmad munir meninjau pelaksanaan program makan bergizi mbg kondisi fasilitas sukakerta desa bojongjati kecamatan sumedang utara rabu oktober,positif,2
"Menu MBG yang dibagikan pada Rabu 8 Oktober 2025 di Desa Nganten, Kecamatan Soko, Kab. Tuban Jawa Timur serba rebusan
Isi menu hanya berisi rebusan sosis, ayam rebus, makaroni belum matang, dan edamame

Viral, Menu MBG di Soko Tuban Serba Rebusan Dinilai Salah Konsep https://t.co/qEyVgVwWcG",0.0,0.0,0.0,0.0,menu mbg yang dibagikan pada rabu oktober di desa nganten kecamatan soko kab tuban jawa timur serba rebusan isi menu hanya berisi rebusan sosis ayam rebus makaroni belum matang dan edamame viral menu mbg di soko tuban serba rebusan dinilai salah konsep,menu mbg dibagikan rabu oktober desa nganten kecamatan soko kab tuban jawa timur serba rebusan isi menu berisi rebusan sosis ayam rebus makaroni matang edamame viral menu mbg soko tuban serba rebusan dinilai salah konsep,netral,1
"Salah seorang wali murid SDN 1 Peusing, di Kec. Jalaksana Kab.Kuningan Jawa Barat mengeluhkan dengan sajian MBG karena tahu basi. 
Keluhan paket MBG pada Rabu 8/10/2025 di antaranya ayam katsu, tahu dgn kondisi kadaluarsa alias basi, sayur wortel - waluh &amp; buah kelengkeng 3 butir https://t.co/EOve03DiH8",0.0,0.0,0.0,0.0,salah seorang wali murid sdn peusing di kec jalaksana kabkuningan jawa barat mengeluhkan dengan sajian mbg karena tahu basi keluhan paket mbg pada rabu di antaranya ayam katsu tahu dgn kondisi kadaluarsa alias basi sayur wortel waluh amp buah kelengkeng butir,salah wali murid sdn peusing kec jalaksana kabkuningan jawa barat mengeluhkan sajian mbg basi keluhan paket mbg rabu ayam katsu kondisi kadaluarsa alias basi sayur wortel waluh amp buah kelengkeng butir,negatif,0
"@NurRohi03920969 @cakimiNOW @uni_eropa @WhiteHouse Benar, food tray MBG awalnya impor dari China (dikonfirmasi BPJPH pas cek halal di sana, bebas kandungan babi). Tapi pemerintah lagi dorong produksi lokal lewat penghapusan izin impor bahan baku, biar UMKM bisa bersaing (sumber: https://t.co/KStD9dvgIB, Juli 2025). Kemandirian",0.0,0.0,0.25,0.0,benar food tray mbg awalnya impor dari china dikonfirmasi bpjph pas cek halal di sana bebas kandungan babi tapi pemerintah lagi dorong produksi lokal lewat penghapusan izin impor bahan baku biar umkm bisa bersaing sumber juli kemandirian,food tray mbg impor china dikonfirmasi bpjph pas cek halal bebas kandungan babi pemerintah dorong produksi lokal penghapusan izin impor bahan baku biar umkm bersaing sumber juli kemandirian,netral,1
"@NurRohi03920969 @cakimiNOW @uni_eropa @WhiteHouse Proyeksi kebutuhan beras hingga 2029 (akhir periode Prabowo) ~26-27 jt ton/tahun (sumber: Outlook Padi 2024 Kementan). Produksi diprediksi ~31 jt ton/tahun dengan surplus ~5 jt ton, plus tambahan 10 jt ton dari Food Estate.

GovTech (diluncurkan Agustus 2025) hasilkan integrasi",0.0,0.0,0.25,0.0,proyeksi kebutuhan beras hingga akhir periode prabowo jt tontahun sumber outlook padi kementan produksi diprediksi jt tontahun dengan surplus jt ton plus tambahan jt ton dari food estate govtech diluncurkan agustus hasilkan integrasi,proyeksi kebutuhan beras periode prabowo tontahun sumber outlook padi kementan produksi diprediksi tontahun surplus ton plus tambahan ton food estate govtech diluncurkan agustus hasilkan integrasi,netral,1
"Sebanyak 13 siswa SMP Negeri 1 Wedi, Kabupaten Klaten, Jawa Tengah, dilaporkan mengalami gejala keracunan makanan usai mengonsumsi menu Makan Bergizi Gratis (MBG) pada Rabu (8/10/2025)... 

Hal ini dikonfirmasi oleh Kepala Dinas Kesehatan Klaten, Anggit Budiarto, dalam wawancara https://t.co/fTdG9J0EaB",1.0,0.0,0.0,0.0,sebanyak siswa smp negeri wedi kabupaten klaten jawa tengah dilaporkan mengalami gejala keracunan makanan usai mengonsumsi menu makan bergizi gratis mbg pada rabu hal ini dikonfirmasi oleh kepala dinas kesehatan klaten anggit budiarto dalam wawancara,siswa smp negeri wedi kabupaten klaten jawa dilaporkan mengalami gejala keracunan makanan mengonsumsi menu makan bergizi gratis mbg rabu dikonfirmasi kepala dinas kesehatan klaten anggit budiarto wawancara,positif,2
"#HaloSedare, Loka POM di Kabupaten Belitung

Selasa, 7 Oktober 2025, Loka POM di Kab. Belitung melakukan koordinasi ke SPPG di Kab. Belitung Timur, meliputi SPPG Kampit dan SPPG Kurnia Jaya untuk memastikan program MBG telah sesuai dengan syarat keamanan pangan. https://t.co/Su6OJaY6iA",0.0,0.0,0.25,0.0,halosedare loka pom di kabupaten belitung selasa oktober loka pom di kab belitung melakukan koordinasi ke sppg di kab belitung timur meliputi sppg kampit dan sppg kurnia jaya untuk memastikan program mbg telah sesuai dengan syarat keamanan pangan,halosedare loka pom kabupaten belitung selasa oktober loka pom kab belitung koordinasi sppg kab belitung timur meliputi sppg kampit sppg kurnia jaya program mbg sesuai syarat keamanan pangan,netral,1
"Lagi-lagi keracunan MBG..!

Sejumlah siswa SMPN 1 Wedi, Klaten, Jawa Tengah dilarikan ke puskesmas karena keracunan MBG.

Rabu 08 Okt. 2025 https://t.co/J7TgoCjJy1",1.0,0.0,1.0,0.0,lagilagi keracunan mbg sejumlah siswa smpn wedi klaten jawa tengah dilarikan ke puskesmas karena keracunan mbg rabu okt,lagilagi keracunan mbg siswa smpn wedi klaten jawa dilarikan puskesmas keracunan mbg rabu okt,netral,1
